Date,Nintendo Switch Sales,PS4 Sales,Xbox One Sales
1/6/2018,71528,59920,49805
1/13/2018,62374,50554,46845
1/20/2018,53734,47961,44867
1/27/2018,58457,61473,54336
2/3/2018,59834,58728,53374
2/10/2018,64734,90141,65513
2/17/2018,68945,95263,69587
2/24/2018,65708,89512,87417
3/3/2018,66374,90084,89745
3/10/2018,63748,77550,59361
3/17/2018,59834,74427,58883
3/24/2018,63831,72283,60724
3/31/2018,60187,69165,59315
4/7/2018,48734,60887,39668
4/14/2018,40332,63921,32179
4/21/2018,41238,114623,32841
4/28/2018,41045,87324,30832
5/5/2018,49130,74771,30136
5/12/2018,40765,60365,32497
5/19/2018,41626,53302,37318
5/26/2018,42223,52229,38664
6/2/2018,41793,55127,38123
6/9/2018,59457,79344,46890
6/16/2018,64099,82505,56175
6/23/2018,80980,78214,54920
6/30/2018,76685,73106,53066
7/7/2018,63339,58685,44396
7/14/2018,69671,48331,35747
7/21/2018,67057,46329,41516
7/28/2018,68256,47171,38110
8/4/2018,67344,45569,37427
8/11/2018,54996,45275,37914
8/18/2018,55637,51786,40305
8/25/2018,53408,54980,43191
9/1/2018,51957,51232,47657
9/8/2018,49920,89920,38765
9/15/2018,49052,87052,35990
9/22/2018,55766,79766,33025
9/29/2018,57945,72623,32916
10/6/2018,67729,69982,34276
10/13/2018,60157,80819,53601
10/20/2018,62811,78836,47193
10/27/2018,63055,92508,54946
11/3/2018,69062,88162,52871
11/10/2018,72913,112253,75510
11/17/2018,212779,152347,113676
11/24/2018,792912,884834,802187
12/1/2018,278298,321530,291286
12/8/2018,437989,200520,218025
12/15/2018,478895,200620,240576
12/22/2018,517951,204569,260190
12/29/2018,246756,107166,130070
1/5/2019,82734,56845,61945
1/12/2019,68800,48567,33867
1/19/2019,63173,45720,33009
1/26/2019,65730,49450,35682
2/2/2019,66535,53729,32939
2/9/2019,78855,68434,41744
2/16/2019,77209,69123,46214
2/23/2019,78562,69789,49033
3/2/2019,83644,69859,48776
3/9/2019,73944,50065,43087
3/16/2019,70916,51018,39077
3/23/2019,67584,48113,36728
3/30/2019,71472,44163,31640
4/6/2019,62199,41029,28497
4/13/2019,62314,36990,24471
4/20/2019,51250,38852,23151
4/27/2019,53987,39027,23732
5/4/2019,50923,39845,22978
5/11/2019,52472,37140,21444
5/18/2019,51024,37686,22080
5/25/2019,54337,38337,22110
6/1/2019,58848,39526,29279
6/8/2019,66824,55368,36832
6/15/2019,76542,54498,40290
6/22/2019,78293,55102,41367
6/29/2019,107933,57358,39239
7/6/2019,63104,50581,28227
7/13/2019,63054,43547,27684
7/20/2019,62634,45747,26446
7/27/2019,63724,45240,26992
8/3/2019,63314,42816,24457
8/10/2019,45299,42527,15239
8/17/2019,45208,41145,15989
8/24/2019,45386,42295,15664
8/31/2019,45070,41540,18011
9/7/2019,69532,52570,30236
9/14/2019,81094,51768,47689
9/21/2019,153781,50176,32582
9/28/2019,127227,48629,30099
10/5/2019,90880,36120,24518
10/12/2019,73522,39211,26757
10/19/2019,71272,40317,26393
10/26/2019,74552,42527,30964
11/2/2019,83190,61643,31117
11/9/2019,117514,92240,31366
11/16/2019,177259,109944,37205
11/23/2019,168792,168526,43664
11/30/2019,881303,826313,693792
12/7/2019,512053,188807,244023
12/14/2019,551514,171620,234987
12/21/2019,616317,194384,242011
12/28/2019,356436,100880,130708
1/4/2020,80316,40857,35679
1/11/2020,72995,30668,15397
1/18/2020,65624,26312,16797
1/25/2020,61031,25221,16828
2/1/2020,61915,25177,18106
2/8/2020,75495,34305,26809
2/15/2020,76710,36642,27527
2/22/2020,77928,35630,27964
2/29/2020,79872,35073,31751
3/7/2020,77298,39909,32974
3/14/2020,89539,49796,35345
3/21/2020,196149,48212,34700
3/28/2020,128570,43671,31083
4/4/2020,112718,39498,27778
4/11/2020,50683,78079,24324
4/18/2020,62824,61522,33176
